constraints,local_time,mpc_time
1,0.005493,0.098205399999999998
3,0.008144,0.087428399999999989
10,0.011673,0.099082000000000003
30,0.019868,0.11337300000000002
100,0.049781,0.17920379999999997
300,0.128338,0.27321199999999995
1000,0.250883,0.41678620000000005
3000,0.674265,0.84560139999999995
